epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.4577992260456085,2.2675843238830566,1e-05,0.6356382966041565,1.5249229669570923
1,0.5503579378128052,1.80255126953125,1e-05,0.6442819237709045,1.493080973625183
2,0.578491747379303,1.6473388671875,1e-05,0.6509308218955994,1.4500696659088135
3,0.611120343208313,1.5195821523666382,1e-05,0.6442819237709045,1.4319044351577759
4,0.6312635540962219,1.420868992805481,1e-05,0.6502659320831299,1.4129198789596558
5,0.6485766768455505,1.3600910902023315,1e-05,0.6482712626457214,1.3921314477920532
6,0.6610621213912964,1.2819241285324097,1e-05,0.6522606611251831,1.3683654069900513
7,0.6735475063323975,1.2627748250961304,1e-05,0.6589095592498779,1.3594493865966797
8,0.6842017769813538,1.1860710382461548,1e-05,0.664893627166748,1.3604003190994263
9,0.695521891117096,1.1430445909500122,1e-05,0.666223406791687,1.326900839805603
10,0.702180802822113,1.1410987377166748,1e-05,0.6742021441459656,1.313778042793274
11,0.720825731754303,1.0686191320419312,1e-05,0.6735372543334961,1.3186485767364502
12,0.7164974212646484,1.0669020414352417,1e-05,0.6801861524581909,1.3147886991500854
13,0.7389711737632751,1.0143115520477295,1e-05,0.6808510422706604,1.3055745363235474
14,0.735308825969696,1.024173617362976,1e-05,0.6828457713127136,1.2866421937942505
15,0.7466289401054382,0.9953100681304932,1e-05,0.6934840679168701,1.2603604793548584
16,0.7574496269226074,0.9373857378959656,1e-05,0.7107712626457214,1.2243620157241821
17,0.7589479088783264,0.9446588158607483,1e-05,0.7067819237709045,1.2179938554763794
18,0.7706009745597839,0.882215678691864,1e-05,0.7127659320831299,1.2035839557647705
19,0.7694356441497803,0.8986307382583618,1e-05,0.717420220375061,1.1976934671401978
20,0.7775928378105164,0.8553849458694458,1e-05,0.7207446694374084,1.1780779361724854
21,0.7950724363327026,0.8275659084320068,1e-05,0.7154255509376526,1.1833741664886475
22,0.786082923412323,0.8436220288276672,1e-05,0.7140957713127136,1.1850574016571045
23,0.7885800004005432,0.8178520202636719,1e-05,0.717420220375061,1.2002836465835571
24,0.7940735816955566,0.8038730025291443,5e-06,0.720079779624939,1.1704851388931274
25,0.8067255020141602,0.7749200463294983,5e-06,0.7260638475418091,1.158307433128357
26,0.7979024648666382,0.7829825282096863,5e-06,0.7220744490623474,1.1609055995941162
27,0.8042284250259399,0.7578986883163452,5e-06,0.7240691781044006,1.159052848815918
28,0.8077242970466614,0.7706979513168335,5e-06,0.7247340679168701,1.151150107383728
29,0.810387909412384,0.75133216381073,5e-06,0.7234042286872864,1.147469162940979
30,0.8153820633888245,0.738667905330658,5e-06,0.727393627166748,1.1458768844604492
31,0.8210421204566956,0.7309155464172363,5e-06,0.7347074747085571,1.1267420053482056
32,0.8248710036277771,0.7099137306213379,5e-06,0.7327127456665039,1.137729287147522
33,0.8092225790023804,0.7463447451591492,5e-06,0.7280585169792175,1.1342166662216187
34,0.8203762173652649,0.7314546704292297,5e-06,0.730053186416626,1.1411142349243164
35,0.8180456161499023,0.721781849861145,2.5e-06,0.727393627166748,1.1332921981811523
36,0.8238721489906311,0.7069025635719299,2.5e-06,0.7280585169792175,1.1332080364227295
37,0.816713809967041,0.7330512404441833,2.5e-06,0.7260638475418091,1.1393640041351318
38,0.8217080235481262,0.7074267864227295,1.25e-06,0.7333776354789734,1.1285560131072998
